,pct_change_total_homeless_per_10k
total_homeless_per_10k,0.5891050044347904
unsheltered_homeless_per_10k,0.5406054701436936
total_sheltered_homeless_per_10k,0.4758709604976613
CoC_Category_Largely Rural CoC,0.3858233145430892
Percentage_of_Households_with_Cost_Burden_5_year,-0.13390868208815498
Rental_Vacancy_Rates_1_year,-0.12307678458047709
Estimate Total  15 to 17 years,0.10547907149609358
Share_of_Single_Person_Households_5_year_lag1,0.10179107161781957
total_sheltered_homeless_per_10k_lag1,-0.09943232506356209
Share_of_Renter_Occupied_Units_5_year,-0.09110650089152507
Estimate Total  10 to 14 years,0.0888321127131978
Gini Index,-0.08236621687726862
Estimate Gini Index,-0.08236621687726862
Share_of_Single_Person_Households_1_year,0.07958453202336523
Share_of_Renter_Occupied_Units_1_year,-0.07829105485988265
Share_of_Single_Person_Households_5_year,0.07592672506986305
Year,0.06560125738675099
Share of Single-Adult Households,-0.06433978524253893
Estimate Total  30 to 34 years,-0.06397595319006097
total_homeless_per_10k_lag1,-0.06312714732335975
Estimate Total White alone,-0.0614323591673851
Estimate Total Black or African American alone,0.06137323027834582
Median_Rent_5_year,-0.059509640461629994
pct_occupied,0.056691206331612794
Median_Gross_Rent_5_year,-0.05649086073991416
Rental_Vacancy_Rates_5_year,-0.053826410396220575
Estimate Total  40 to 44 years,0.05367368419672332
Annual Change (%),-0.05138289862947085
Estimate Total  25 to 29 years,-0.05119157590181058
JanuaryTemperature,0.05103726586673182
Estimate Total Two or more races,0.045119483615067305
FIPS code,0.04507311226860003
Percentage_of_Households_with_Cost_Burden_5_year_lag1,0.044019609870231714
Total_Housing_Units_5_year,-0.043165104423717474
Median_Gross_Rent_5_year_lag1,-0.043013657101897265
SummerTemperature,0.041800381336598434
Percentage of Homes Built before 1940,-0.04133606937542434
Median Household Income_lag1,-0.040180008704892606
Estimate Total  60 and 61 years,0.0396920841600604
Estimate Total  5 to 9 years,0.03899434878324313
Estimate Total  35 to 39 years,-0.03662479943709044
Estimate Total  85 years and over,-0.03501869246168946
Total_Housing_Units_1_year,-0.03487385764174568
Estimate Total  45 to 49 years,0.03476637020500044
Unemployed,-0.03468398038408752
HUD_Subsidized_Total_Units,-0.03400047235950292
CoC_Category_Other Largely Urban CoC,-0.033835715413184766
Share of HUD-Assisted Units,-0.03355041719270329
Poverty Rate_lag1,0.033022625337799316
Estimate Total Native Hawaiian and Other Pacific Islander alone,0.03282748696791297
