CoC Number,County,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Hispanic/Latino,Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Black or African American,Overall Homeless - Asian,Overall Homeless - American Indian or Alaska Native,CoC Number Original,CoC Name,CoC Category,State,Median_House_Values_1_year,Percentage_of_Households_with_Cost_Burden_1_year,Median_Rent_1_year,Median_Gross_Rent_1_year,Share_of_Renter_Occupied_Units_1_year,Rental_Vacancy_Rates_1_year,Total_Housing_Units_1_year,Share_of_Overcrowded_Housing_Units_1_year,Share_of_Single_Person_Households_1_year,Median_Rental_Utility_Cost_1_year,Median_House_Values_5_year,Percentage_of_Households_with_Cost_Burden_5_year,Median_Rent_5_year,Median_Gross_Rent_5_year,Share_of_Renter_Occupied_Units_5_year,Rental_Vacancy_Rates_5_year,Total_Housing_Units_5_year,Share_of_Overcrowded_Housing_Units_5_year,Share_of_Single_Person_Households_5_year,Median_Rental_Utility_Cost_5_year,Geography,FIPS code,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,LAUS Code,State FIPS,County FIPS,Labor Force,Employed,Unemployed,Unemployment Rate,Total Population,Share of Single-Adult Households,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Total Two or more races,Estimate Total Some Other Race alone,Estimate Total Two or More Races,Estimate Total  10 to 14 years,Estimate Total  15 to 17 years,Estimate Total  18 and 19 years,Estimate Total  20 years,Estimate Total  21 years,Estimate Total  22 to 24 years,Estimate Total  25 to 29 years,Estimate Total  30 to 34 years,Estimate Total  35 to 39 years,Estimate Total  40 to 44 years,Estimate Total  45 to 49 years,Estimate Total  5 to 9 years,Estimate Total  50 to 54 years,Estimate Total  55 to 59 years,Estimate Total  60 and 61 years,Estimate Total  62 to 64 years,Estimate Total  65 and 66 years,Estimate Total  67 to 69 years,Estimate Total  70 to 74 years,Estimate Total  75 to 79 years,Estimate Total  80 to 84 years,Estimate Total  85 years and over,Estimate Total  Under 5 years,Proportion of Females,Estimate Gini Index,Median Household Income,Gini Index,Poverty Rate,JanuaryPrecipitation,YearlyPrecipitation,SummerTemperature,JanuaryTemperature,Share of Families Receiving Cash Assistance,Percentage of Homes Built before 1940,HUD_Assisted_Total_Units,Total Housing Units,Share of HUD-Assisted Units,HUD_Subsidized_Total_Units,pct_occupied,number_reported,pct_reported,Disabled workers,Total,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,With a Disability Estimate Population Age 16 and Over,Aged,Blind and disabled,SSI Participation Rate (Percent),SSDI Participation Rate (Percent),total_homeless_per_10k,total_sheltered_homeless_per_10k,unsheltered_homeless_per_10k
AL-501,mobile county,2010,883,482,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,131800,0.4949133085266408,506,785,0.33,123,178726,0.008179547,0,279,120700,0.4726627755893332,513,,0.32,97,175753,0.005029289,0,,0500000US01097,01097,-7.22,389.86,194.62,132.81,,,,,,,,413277,0.1115523002731823,0.61,0.35,0.01,0.02,0,0,0.01,,,0.073454366,0.044415731,0.028520823,0.012884821,0.019732528,0.038182623,0.06759389,0.06268193,0.062425443,0.062152019,0.072534886,0.062848888,0.0730406,0.066703446,0.023366894,0.030940507,0.015144806,0.025038896,0.033171456,0.024576737,0.017225735,0.014293077,0.069069897,0.52,,39998,0.479,20.2,3.79,83.16,82.9,47.2,0.3074004367998872,0.054060405,,,,,,,,,,,,,,,,17.402812081138794,9.864825232623245,7.537986849
AL-501,mobile county,2011,718,407,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,121700,0.5170622709186774,553,796,0.32,95,180037,0.00418296,0,243,124100,0.490373249,531,791,0.32,99,177126,0.005287912,0,260,0500000US01097,01097,-5.99,366.49,182.96,124.85,,,,,,,,412577,0.10389091,0.6,0.35,0.01,0.02,0,0.01,0.01,,,0.067548603,0.043688814,0.027110091,0.011425746,0.015771601,0.045111579,0.066385184,0.063537231,0.060885604,0.061724236,0.068988334,0.069516721,0.073697758,0.062238079,0.025110464,0.037532388,0.019615732,0.0283947,0.02728218,0.024460889,0.015294115,0.017601563,0.067078388,0.52,0.4679,42372,0.4679,19.4,2.87,51.82,83.4,55.8,0.3006445334018877,0.052922455,,,,,,,,,,,,,,,,15.316377411000735,7.827296973,7.489080437555565
AL-501,mobile county,2012,634,324,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,125500,0.4785873539641487,567,781,0.36,101,180484,0.004095563,0,214,125400,0.4932051257197138,548,811,0.33,98,178278,0.005058301,0,263,0500000US01097,01097,-4.02,351.78,175.61,119.84,CN0109700000000,1,97,188890,171102,17788,9.4,413936,0.1149066522360944,0.61,0.35,0.01,0.02,0,0,0.01,,,0.07201838,0.042825461,0.026934115,0.017079935,0.015258397,0.039812918,0.065370009,0.06376348,0.058431738,0.065944977,0.065855591,0.063343126,0.073158653,0.065594681,0.024655985,0.034242008,0.024211472,0.02559816,0.03058927,0.027888369,0.016623343,0.013231514,0.067568416,0.52,0.4792,39691,0.4792,21.1,3.08,44.91,80.7,68.5,0.3028830297033544,0.049998892,28382,178278,0.1592007987525101,14191,80,11238,97,,,,,,,,,11.905940653836586,6.278995070988869,5.626945582847718
AL-501,mobile county,2013,493,260,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,121200,0.5129755706848218,586,786,0.34,132,180503,0.008545854,0,200,124300,0.5029996720615753,561,816,0.33,109,179154,0.005129593,0,255,0500000US01097,01097,-1.31,347.16,173.3,118.26,CN0109700000000,1,97,186932,170729,16203,8.7,414079,0.097507963,0.6,0.35,0,0.02,0,0,0.02,,,0.067033102,0.040084139,0.027219444,0.015922083,0.01329215,0.042561927,0.069018231,0.064709874,0.059809843,0.061116357,0.063178765,0.068059477,0.072862908,0.068658396,0.021935428,0.036565486,0.023526912,0.025089415,0.034848423,0.023203302,0.016187732,0.01899396,0.066122648,0.52,0.4588,42944,0.4588,20,2.98,70.95,80,65.5,0.3231790685093198,0.045090663,29018,179154,0.1619723813032363,14509,81,11288,97,,,,,,,,,14.40536901111237,11.105142331309034,3.3002266798033357
AL-501,mobile county,2014,598,461,137,126,44,428,0,0,0,0,0,0,0,0,0,0,0,0,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,120700,0.4956606496841553,611,823,0.35,125,181618,0.001824699,0,212,124500,0.4958484842592413,576,826,0.33,118,180277,0.004974093,0,250,0500000US01097,01097,1.89,353.71,176.57,120.49,CN0109700000000,1,97,185640,171332,14308,7.7,415123,0.1031718309994869,0.59,0.35,0.01,0.02,0,0.01,0.02,,,0.067146364,0.040306126,0.024619209,0.012557724,0.01532076,0.043179973,0.067895539,0.063636561,0.062410418,0.059620883,0.063672695,0.067225858,0.072048525,0.071530607,0.024638481,0.033927294,0.021188901,0.02788812,0.035288336,0.02394471,0.016354189,0.019991665,0.065607061,0.52,0.4631,43642,0.4631,19.3,4.71,68.88,80.2,65.8,0.3126521614109077,0.038426808,27884,180277,0.1546730864170138,14005,79,11246,100,,,,,,,,,13.914466953140986,8.762743894365604,5.151723058775383
AL-501,mobile county,2015,578,364,214,72,36,470,173,405,14,230,0,0,0,1,9,335,1,2,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,120500,0.4894159894159894,612,798,0.35,141,182024,0.00205312,0,186,122400,0.4991469561845676,598,816,0.33,122,180932,0.003832983,0,218,0500000US01097,01097,3.01,364.36,181.89,124.12,CN0109700000000,1,97,186483,173586,12897,6.9,415395,0.1113012915417855,0.59,0.35,0.01,0.02,0,0.01,0.02,,,0.066002239,0.041471371,0.023688297,0.011413233,0.017544747,0.04021955,0.073765934,0.06432191,0.060479784,0.059184631,0.059853874,0.065008004,0.070686937,0.06263436,0.029858328,0.039875299,0.019911169,0.030840525,0.037193515,0.027434129,0.015900528,0.016495143,0.066216493,0.52,0.4789,42699,0.4789,17.7,4.99,68.89,81.6,68.3,0.3252028428194649,0.047532194,27918,180932,0.1543010633829284,14023,80,11213,100,,,,,,,,,15.01798301015341,9.328987841,5.688995169175288
AL-501,mobile county,2016,623,387,236,93,30,500,215,406,18,276,0,0,0,3,18,318,0,8,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,126800,0.4647905541491897,605,807,0.34,84,182640,0.003710044,0,202,123500,0.4851509667587389,606,818,0.34,118,181612,0.004187708,0,212,0500000US01097,01097,1.89,371.24,185.32,126.47,CN0109700000000,1,97,186230,173856,12374,6.6,414836,0.115103318,0.59,0.36,0.01,0.02,0,0.01,0.02,,,0.065314968,0.041910538,0.024489196,0.013523416,0.011421381,0.042110617,0.074101573,0.065071498,0.063543183,0.055723226,0.060855374,0.064946147,0.06650821,0.068313743,0.023269437,0.04069319,0.024556692,0.030913421,0.036804906,0.025106307,0.018433791,0.017553925,0.06483526,0.52,0.4756,45744,0.4756,19.4,12.3,72.18,81.9,69.3,0.347024637,0.04281647,26527,181612,0.146064137,,,,,,,,,,,,,14.639272384679494,8.237610368276744,6.401662016402749
AL-501,mobile county,2017,606,341,265,116,35,455,222,383,18,273,0,0,0,0,9,314,4,6,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,131200,0.4398176621685178,633,819,0.36,94,183912,0.003297066,0.31,186,124500,0.4791566008928744,623,831,0.34,118,182505,0.004076882,0.29,208,0500000US01097,01097,3.41,383.89,191.64,130.78,CN0109700000000,1,97,189017,178966,10051,5.3,413955,0.1161720476863427,0.59,0.36,0.01,0.02,0,0.01,0.02,,,0.06736481,0.041714679,0.025058279,0.016262637,0.015062024,0.035489365,0.073570799,0.063371623,0.056808107,0.062743535,0.060844778,0.061393147,0.063154208,0.066628015,0.028189054,0.03877233,0.023722385,0.032972183,0.040219348,0.02640142,0.01856482,0.016223986,0.065468469,0.53,0.4885,46023,0.4885,19.6,3.35,65.99,80.3,67.7,0.3286042712807792,0.040883684,26444,182505,0.1448946604202624,13285,85,11365,100,,,,,,,,,13.316995241168124,7.685670574757648,5.631324666410478
AL-501,mobile county,2018,551,318,233,97,30,424,200,349,20,219,0,0,0,0,20,307,1,4,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,131700,0.4506707019120127,633,797,0.4,47,184687,0.005118927,0.33,164,126600,0.4647694247957449,635,840,0.35,99,183164,0.003362617,0.3,205,0500000US01097,01097,5.32,404.33,201.84,137.74,CN0109700000000,1,97,191026,182105,8921,4.7,413757,0.1256800489176014,0.58,0.36,0.01,0.02,0,0.01,0.02,,,0.068600652,0.041021662,0.023547638,0.011796779,0.011506754,0.042014999,0.073717182,0.067718492,0.058002644,0.060624956,0.06001832,0.059759714,0.062792895,0.070519653,0.029493157,0.033485838,0.025031601,0.028514321,0.041613797,0.030931199,0.017921147,0.01685047,0.064516129,0.52,0.4805,43061,0.4805,20.8,4.42,72.83,81.5,68.7,0.3306640839515541,0.034230888,26236,183164,0.1432377541438274,13129,85,11111,99,,,,,,,,,12.221388640158757,7.3328331840952545,4.888555456063503
AZ-501,pima county,2010,3643,1939,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['AZ-501'],['Tucson/Pima County CoC'],Major City CoC,arizona,173200,0.5005462202992712,648,901,0.36,92,441244,0.01000068,0,253,198300,0.4920692407757805,630,,0.35,89,435392,0.009793652,0,,0500000US04019,04019,-10.09,477.98,201.15,134.43,,,,,,,,982154,0.1172708149638447,0.81,0.03,0.03,0.03,0,0.07,0.03,,,0.065747327,0.038837087,0.033283986,0.015627895,0.016577848,0.044215062,0.067343818,0.060737929,0.059490671,0.05906813,0.065012208,0.061223596,0.06876722,0.064808574,0.026746315,0.033946815,0.019493888,0.029190942,0.035531088,0.02674326,0.022004696,0.022086149,0.063515498,0.51,,44274,0.456,17.8,0.01,8.68,84.9,50.6,0.3058582851345339,0.020208773,,,,,,,,,,,,,,,,26.53680541730794,19.220488919923724,7.316316497384214
