CoC Number,County,HPI,SummerTemperature,Median_House_Values_5_year,Median_House_Values_1_year,Overall Homeless,Unsheltered Homeless,Median_Gross_Rent_5_year,Median_Gross_Rent_1_year,Overall Homeless - Multiple Races,Sheltered Total Homeless,Overall Homeless - Native Hawaiian or Other Pacific Islander,Median_Rent_1_year,Overall Homeless - Age 18 to 24,Median_Rent_5_year,SSDI Participation Rate (Percent),Estimate Total  85 years and over,Overall Homeless - American Indian or Alaska Native,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,JanuaryPrecipitation,Estimate Total Two or more races,Estimate Total Asian alone,Overall Homeless - Asian,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Estimate Total  62 to 64 years,Estimate Total Black or African American alone,Estimate Total  60 and 61 years,total_homeless_per_10k
AL-501,mobile county,389.86,82.9,120700,131800.0,883,401,1053.5,785.0,0,482,0,506.0,0,513,2.631751953517868,0.014293077,0,0.0,0.0,3.79,0.01,0.02,0,1073690.0,0.030940507,0.35,0.023366894,17.402812081138794
AL-501,mobile county,366.49,83.4,124100,121700.0,718,311,791.0,796.0,0,407,0,553.0,0,531,2.631751953517868,0.017601563,0,0.0,0.01,2.87,0.01,0.02,0,1073690.0,0.037532388,0.35,0.025110464,15.316377411000737
AL-501,mobile county,351.78,80.7,125400,125500.0,634,310,811.0,781.0,0,324,0,567.0,0,548,2.631751953517868,0.013231514,0,0.0,0.0,3.08,0.01,0.02,0,1073690.0,0.034242008,0.35,0.024655985,11.905940653836586
AL-501,mobile county,347.16,80.0,124300,121200.0,493,233,816.0,786.0,0,260,0,586.0,0,561,2.631751953517868,0.01899396,0,0.0,0.0,2.98,0.02,0.02,0,1073690.0,0.036565486,0.35,0.021935428,14.40536901111237
AL-501,mobile county,353.71,80.2,124500,120700.0,598,137,826.0,823.0,0,461,0,611.0,44,576,2.631751953517868,0.019991665,0,0.0,0.01,4.71,0.02,0.02,0,1073690.0,0.033927294,0.35,0.024638481,13.914466953140986
AL-501,mobile county,364.36,81.6,122400,120500.0,578,214,816.0,798.0,9,364,1,612.0,36,598,2.631751953517868,0.016495143,2,0.0,0.01,4.99,0.02,0.02,1,1073690.0,0.039875299,0.35,0.029858328,15.01798301015341
AL-501,mobile county,371.24,81.9,123500,126800.0,623,236,818.0,807.0,18,387,3,605.0,30,606,2.631751953517868,0.017553925,8,0.0,0.01,12.3,0.02,0.02,0,1073690.0,0.04069319,0.36,0.023269437,14.639272384679494
AL-501,mobile county,383.89,80.3,124500,131200.0,606,265,831.0,819.0,9,341,0,633.0,35,623,2.631751953517868,0.016223986,6,0.0,0.01,3.35,0.02,0.02,4,1073690.0,0.03877233,0.36,0.028189054,13.316995241168124
AL-501,mobile county,404.33,81.5,126600,131700.0,551,233,840.0,797.0,20,318,0,633.0,30,635,2.631751953517868,0.01685047,4,0.0,0.01,4.42,0.02,0.02,1,1073690.0,0.033485838,0.36,0.029493157,12.221388640158755
AZ-501,pima county,477.98,84.9,198300,173200.0,3643,1704,1053.5,901.0,0,1939,0,648.0,0,630,2.631751953517868,0.022086149,0,0.0,0.07,0.01,0.03,0.03,0,1073690.0,0.033946815,0.03,0.026746315,26.53680541730794
